Frequency (nm),Sample,Lower_CI,Central,Upper_CI,Deviation
1549.56,SCC,0.942873,3.754987,11.775529,2.655515961
1554.3,SCC,0.9677419,3.96178965,12.0190024,2.68545774
1559.04,SCC,0.9013786,4.0011435,11.8994415,2.759223115
1563.77,SCC,0.8507348,4.1162316,12.11778,2.794105454
1568.51,SCC,0.7161459,4.2775728,12.204473,2.95598139
1573.25,SCC,0.7112376,4.18941135,12.584777,2.978044032
1577.98,SCC,0.5709625,4.42035,12.786596,3.182854919
1582.72,SCC,0.3773585,4.6673287,12.783505,3.307789085
1587.46,SCC,0.4410144,5,13.318536,3.51592156
1592.19,SCC,-0.5181347,5.11448405,13.452914,3.970601858
1596.93,SCC,-0.7911393,5.33103085,14.580032,4.419054114
1601.67,SCC,-1.3333334,5.54530545,15.384616,4.790592486
1606.4,SCC,-2.173913,5.8541365,16.344085,5.45537935
900.656,AK,11.2860896,24.2849545,43.08094,9.636325299
905.393,AK,11.685393,24.700375,43.341404,9.832887803
910.129,AK,11.737089,24.83434,43.98148,9.880476787
914.866,AK,12.156863,24.590374,42.857143,9.619927131
919.602,AK,13.66539,24.567474,42.65403,9.006657225
924.339,AK,14.203821,24.561689,42.264852,8.855463373
