Frequency (nm),Sample,Shapiro w,Shapiro p,Skewness,Kurtosis
1090.12,SCC,0.943360235,1.48E-21,0.684252074,-0.29509463
1094.85,SCC,0.943036941,1.29E-21,0.700585281,-0.221537728
1099.59,SCC,0.941830264,7.82E-22,0.708161827,-0.207488743
1104.33,SCC,0.938749896,2.24E-22,0.738328515,-0.156582574
1109.06,SCC,0.937227258,1.23E-22,0.741690661,-0.128845833
1113.8,SCC,0.933670361,3.14E-23,0.790656275,0.032794924
1118.54,SCC,0.933199519,2.63E-23,0.758222908,-0.123608672
1123.27,SCC,0.930148088,8.60E-24,0.807038281,0.007700213
1128.01,SCC,0.924157522,1.06E-24,0.884028849,0.237816749
1132.75,SCC,0.916223248,7.94E-26,0.993896992,0.637677455
1137.48,SCC,0.904969255,2.73E-27,1.131695445,1.1995114
1142.22,SCC,0.896866689,2.91E-28,1.229006051,1.615518616
1146.96,SCC,0.889719311,4.51E-29,1.309073527,1.969786927
1151.69,SCC,0.887744327,2.74E-29,1.343510379,2.160076351
1156.43,SCC,0.884336499,1.18E-29,1.364997045,2.252677546
1161.17,SCC,0.887191483,2.38E-29,1.349904423,2.161831176
1165.9,SCC,0.889379189,4.14E-29,1.319788804,1.980681937
1170.64,SCC,0.889612119,4.39E-29,1.298829626,1.855881934
1175.38,SCC,0.890626369,5.68E-29,1.285195525,1.751592699
1180.11,SCC,0.889687087,4.47E-29,1.306446197,1.901820128
1184.85,SCC,0.890812835,5.96E-29,1.298599268,1.876873593
1189.59,SCC,0.888786446,3.56E-29,1.307754166,1.923837739
1194.32,SCC,0.891582899,7.27E-29,1.291772291,1.909137711
1199.06,SCC,0.894411384,1.52E-28,1.277051533,1.891613076
1203.8,SCC,0.895536825,2.04E-28,1.269136582,1.87701476
1208.53,SCC,0.896864715,2.91E-28,1.263182642,1.870791929
1213.27,SCC,0.899985727,6.78E-28,1.238030161,1.775950423
1218.01,SCC,0.899442778,5.84E-28,1.226936039,1.700385382
1222.74,SCC,0.901455878,1.02E-27,1.215621944,1.664164522
1227.48,SCC,0.902797572,1.48E-27,1.201967885,1.580875708
1232.22,SCC,0.901448883,1.01E-27,1.201339699,1.524771533
1236.95,SCC,0.900348792,7.49E-28,1.194433563,1.462664575
1241.69,SCC,0.902196236,1.25E-27,1.170355162,1.3457512
1246.42,SCC,0.901484145,1.02E-27,1.178905181,1.3648191
1251.16,SCC,0.901296357,9.73E-28,1.18125426,1.355805941
1255.9,SCC,0.899284844,5.60E-28,1.181336383,1.326665841
1260.63,SCC,0.900192639,7.18E-28,1.173679529,1.281577698
1265.37,SCC,0.899010492,5.19E-28,1.180394394,1.294937735
1270.11,SCC,0.896574999,2.69E-28,1.188697727,1.299297357
1274.84,SCC,0.893886214,1.32E-28,1.209355788,1.371821694
1279.58,SCC,0.893756615,1.28E-28,1.22701951,1.47977277
1284.32,SCC,0.891236136,6.65E-29,1.264412844,1.651499912
1289.05,SCC,0.887295239,2.45E-29,1.313965141,1.88849666
1293.79,SCC,0.883004975,8.51E-30,1.360849317,2.134657917
1298.53,SCC,0.877942028,2.54E-30,1.42865276,2.489668354
1303.26,SCC,0.872190067,6.74E-31,1.493385879,2.846116833
1308,SCC,0.865193201,1.43E-31,1.582354984,3.367482281
1312.74,SCC,0.855810869,1.96E-32,1.687110994,3.991929522
1317.47,SCC,0.847087497,3.39E-33,1.796255945,4.695457088
1322.21,SCC,0.83707317,4.97E-34,1.909275307,5.424685841
